;A;CA;CV;DD;DP;FC;FD;FF;FS;FT;G;GC;GS;I;PE;PP;RB;SG;atletas_scout;apelido;atleta_id;clubename;clube_id;jogos_num;media_num;nome;pontos_num;posicao_id;preco_num;Rodada;status_id;variacao_num
15950;;2.0;;;;12.0;4.0;5.0;13.0;1.0;3.0;;;2.0;37.0;;12.0;;;Keno;86485;Palmeiras;PAL;16;2.48;Marcos da Silva Franca;0.0;ata;6.57;19;Provavel;0.0
15951;;;;;;;;;;;;;;;;;;;;Riuler;99021;Atletico-PR;ATL;0;0.0;Riuler de Oliveira Faustino;0.0;lat;2.0;19;Nulo;0.0
15952;;;;;;13.0;5.0;4.0;7.0;;;;;6.0;27.0;;12.0;1.0;;Breno Lopes;86411;Atletico-GO;ATL;9;2.12;Breno Goncalves Lopes;0.0;lat;3.86;19;Nulo;0.0
15953;;2.0;;;;4.0;1.0;3.0;5.0;;;;;1.0;7.0;;1.0;;;Lourenco;99032;Avai;AVA;6;-0.22;Joao Paulo Ferreira Lourenco;0.0;ata;0.79;19;Nulo;0.0
15954;2.0;2.0;;;;23.0;12.0;7.0;21.0;;1.0;;;2.0;85.0;;16.0;;;Everton Felipe;86519;Sport;SPO;15;2.04;Everton Felipe de Oliveira Silva;-1.7;mei;4.16;19;Provavel;-0.21
15955;;;;;;1.0;1.0;;2.0;;;;;;12.0;;2.0;;;Jonathan;86713;Atletico-GO;ATL;6;0.22;Jonathan Francisco Lemos;1.1;lat;1.64;19;Provavel;0.22
15956;2.0;3.0;1.0;;;28.0;3.0;3.0;14.0;;;;;1.0;38.0;;17.0;;;Tche Tche;86686;Palmeiras;PAL;15;0.94;Danilo das Neves Pinheiro;4.1;mei;6.96;19;Nulo;0.87
15957;;3.0;;;;7.0;1.0;1.0;4.0;;;;;1.0;6.0;;2.0;1.0;;Luizao;86724;Coritiba;COR;5;0.06;Walter Luiz Silva de Araujo;4.4;zag;1.87;19;Provavel;0.98
15958;2.0;1.0;;;;7.0;8.0;9.0;7.0;1.0;5.0;;;1.0;15.0;;8.0;;;Everton;86757;Gremio;GRE;16;4.65;Everton Sousa Soares;5.4;ata;10.68;19;Provavel;0.3
15959;;;;;;;;;;;;;;;;;;;;Joao Victor;99033;Sport;SPO;0;0.0;Joao Victor Inacio Araujo;0.0;mei;2.0;19;Nulo;0.0
15960;6.0;1.0;;;;17.0;15.0;14.0;36.0;;5.0;;;3.0;75.0;1.0;21.0;;;Luan;86759;Gremio;GRE;15;7.37;Luan Guilherme de Jesus Vieira;-1.0;ata;20.87;19;Nulo;-0.79
15961;1.0;1.0;;;;7.0;1.0;;6.0;;;;;1.0;43.0;;14.0;4.0;;Joao Lucas;86740;Ponte Preta;PON;10;3.39;Joao Lucas Cardoso;0.0;lat;11.26;19;Nulo;0.0
15962;3.0;1.0;;;;20.0;3.0;4.0;29.0;;3.0;;;9.0;63.0;;24.0;7.0;;Sidcley;86764;Atletico-PR;ATL;17;5.87;Sidcley Ferreira Pereira;5.1;lat;13.61;19;Provavel;-0.31
